,page,name,description,old_price,original_price,stars
0,1,"Private room in Sosan, India",Lost&Found Galactic Friends' House,13.0,13.0,4.82
1,1,"Apartment in Panaji, India",Lavish Sea View Apartment!!,129.0,129.0,4.82
2,1,"Earthen home in Auroville, India","Lotus Studio in Skandavan's garden, Edayanchavadi",39.0,39.0,4.81
3,1,"Home in Jaipur, India","(Entire floor) The Haveli, A Home Stay C scheme",84.0,120.0,4.61
4,1,"Villa in Galle, Sri Lanka",Rose Villa paradise on the ocean.,201.0,201.0,4.84
5,1,"Hotel room in Jodhpur, India",SADAR HAVELI HERITAGE,22.0,22.0,4.63
6,1,"Bungalow in Kochi, India",Verdant Heritage Bungalow  (Entire Upper Floor),50.0,50.0,4.93
7,1,"Private room in Pathau, India",Glamping on Neer Waterfalls .,44.0,44.0,No Review
8,1,"Dome in Kamshet, India",Ethereal Dome w/ Private Plunge Pool & 3 Meals,59.0,59.0,4.89
9,1,"Farm stay in Bengaluru Urban, India",Luxury farmhouse in Bangalore,190.0,190.0,4.77
10,1,"Private room in Karnataka, India",Vanandhaara Coorg I Homestay | Pool Villa 1,89.0,89.0,4.92
11,1,"Private room in Gurugram, India",Reebah Inn & Suites - 3,16.0,16.0,4.62
12,1,"Apartment in Kolkata, India","Modern n Smart Studios, Apt-501 Near Airport n CC2",33.0,33.0,4.84
13,1,"Private room in Gangtok, India",Rustic walnut cottage - waterfall & mountain view,66.0,66.0,4.97
14,1,"Home in Banepa, Nepal",Entire house with all amenities and hill views,73.0,73.0,5.0
15,1,"Cottage in Habarana, Sri Lanka",Far Cry Kumbukkalli Forest Retreat,105.0,105.0,4.8
16,1,"Apartment in Islamabad, Pakistan",Flamingo Grand Apartments,77.0,85.0,5.0
17,1,"Private room in Mawlynnong, India",Roberts homestay Mawlynnong,18.0,18.0,4.7
18,2,"Private room in Sosan, India",Lost&Found Galactic Friends' House,13.0,13.0,4.82
19,2,"Apartment in Panaji, India",Lavish Sea View Apartment!!,129.0,129.0,4.82
20,2,"Earthen home in Auroville, India","Lotus Studio in Skandavan's garden, Edayanchavadi",39.0,39.0,4.81
21,2,"Home in Jaipur, India","(Entire floor) The Haveli, A Home Stay C scheme",84.0,120.0,4.61
22,2,"Villa in Galle, Sri Lanka",Rose Villa paradise on the ocean.,201.0,201.0,4.84
23,2,"Hotel room in Jodhpur, India",SADAR HAVELI HERITAGE,22.0,22.0,4.63
24,2,"Bungalow in Kochi, India",Verdant Heritage Bungalow  (Entire Upper Floor),50.0,50.0,4.93
25,2,"Private room in Pathau, India",Glamping on Neer Waterfalls .,44.0,44.0,No Review
26,2,"Dome in Kamshet, India",Ethereal Dome w/ Private Plunge Pool & 3 Meals,59.0,59.0,4.89
27,2,"Farm stay in Bengaluru Urban, India",Luxury farmhouse in Bangalore,190.0,190.0,4.77
28,2,"Private room in Karnataka, India",Vanandhaara Coorg I Homestay | Pool Villa 1,89.0,89.0,4.92
29,2,"Private room in Gurugram, India",Reebah Inn & Suites - 3,16.0,16.0,4.62
30,2,"Apartment in Kolkata, India","Modern n Smart Studios, Apt-501 Near Airport n CC2",33.0,33.0,4.84
31,2,"Private room in Gangtok, India",Rustic walnut cottage - waterfall & mountain view,66.0,66.0,4.97
32,2,"Home in Banepa, Nepal",Entire house with all amenities and hill views,73.0,73.0,5.0
33,2,"Cottage in Habarana, Sri Lanka",Far Cry Kumbukkalli Forest Retreat,105.0,105.0,4.8
34,2,"Apartment in Islamabad, Pakistan",Flamingo Grand Apartments,77.0,85.0,5.0
35,2,"Private room in Mawlynnong, India",Roberts homestay Mawlynnong,18.0,18.0,4.7
36,3,"Private room in Sosan, India",Lost&Found Galactic Friends' House,13.0,13.0,4.82
37,3,"Apartment in Panaji, India",Lavish Sea View Apartment!!,129.0,129.0,4.82
38,3,"Earthen home in Auroville, India","Lotus Studio in Skandavan's garden, Edayanchavadi",39.0,39.0,4.81
39,3,"Home in Jaipur, India","(Entire floor) The Haveli, A Home Stay C scheme",84.0,120.0,4.61
40,3,"Villa in Galle, Sri Lanka",Rose Villa paradise on the ocean.,201.0,201.0,4.84
41,3,"Hotel room in Jodhpur, India",SADAR HAVELI HERITAGE,22.0,22.0,4.63
42,3,"Bungalow in Kochi, India",Verdant Heritage Bungalow  (Entire Upper Floor),50.0,50.0,4.93
43,3,"Private room in Pathau, India",Glamping on Neer Waterfalls .,44.0,44.0,No Review
44,3,"Dome in Kamshet, India",Ethereal Dome w/ Private Plunge Pool & 3 Meals,59.0,59.0,4.89
45,3,"Farm stay in Bengaluru Urban, India",Luxury farmhouse in Bangalore,190.0,190.0,4.77
46,3,"Private room in Karnataka, India",Vanandhaara Coorg I Homestay | Pool Villa 1,89.0,89.0,4.92
47,3,"Private room in Gurugram, India",Reebah Inn & Suites - 3,16.0,16.0,4.62
48,3,"Apartment in Kolkata, India","Modern n Smart Studios, Apt-501 Near Airport n CC2",33.0,33.0,4.84
49,3,"Private room in Gangtok, India",Rustic walnut cottage - waterfall & mountain view,66.0,66.0,4.97
50,3,"Home in Banepa, Nepal",Entire house with all amenities and hill views,73.0,73.0,5.0
51,3,"Cottage in Habarana, Sri Lanka",Far Cry Kumbukkalli Forest Retreat,105.0,105.0,4.8
52,3,"Apartment in Islamabad, Pakistan",Flamingo Grand Apartments,77.0,85.0,5.0
53,3,"Private room in Mawlynnong, India",Roberts homestay Mawlynnong,18.0,18.0,4.7
54,4,"Private room in Sosan, India",Lost&Found Galactic Friends' House,13.0,13.0,4.82
55,4,"Apartment in Panaji, India",Lavish Sea View Apartment!!,129.0,129.0,4.82
56,4,"Earthen home in Auroville, India","Lotus Studio in Skandavan's garden, Edayanchavadi",39.0,39.0,4.81
57,4,"Home in Jaipur, India","(Entire floor) The Haveli, A Home Stay C scheme",84.0,120.0,4.61
58,4,"Villa in Galle, Sri Lanka",Rose Villa paradise on the ocean.,201.0,201.0,4.84
59,4,"Hotel room in Jodhpur, India",SADAR HAVELI HERITAGE,22.0,22.0,4.63
60,4,"Bungalow in Kochi, India",Verdant Heritage Bungalow  (Entire Upper Floor),50.0,50.0,4.93
61,4,"Private room in Pathau, India",Glamping on Neer Waterfalls .,44.0,44.0,No Review
62,4,"Dome in Kamshet, India",Ethereal Dome w/ Private Plunge Pool & 3 Meals,59.0,59.0,4.89
63,4,"Farm stay in Bengaluru Urban, India",Luxury farmhouse in Bangalore,190.0,190.0,4.77
64,4,"Private room in Karnataka, India",Vanandhaara Coorg I Homestay | Pool Villa 1,89.0,89.0,4.92
65,4,"Private room in Gurugram, India",Reebah Inn & Suites - 3,16.0,16.0,4.62
66,4,"Apartment in Kolkata, India","Modern n Smart Studios, Apt-501 Near Airport n CC2",33.0,33.0,4.84
67,4,"Private room in Gangtok, India",Rustic walnut cottage - waterfall & mountain view,66.0,66.0,4.97
68,4,"Home in Banepa, Nepal",Entire house with all amenities and hill views,73.0,73.0,5.0
69,4,"Cottage in Habarana, Sri Lanka",Far Cry Kumbukkalli Forest Retreat,105.0,105.0,4.8
70,4,"Apartment in Islamabad, Pakistan",Flamingo Grand Apartments,77.0,85.0,5.0
71,4,"Private room in Mawlynnong, India",Roberts homestay Mawlynnong,18.0,18.0,4.7
72,5,"Private room in Sosan, India",Lost&Found Galactic Friends' House,13.0,13.0,4.82
73,5,"Apartment in Panaji, India",Lavish Sea View Apartment!!,129.0,129.0,4.82
74,5,"Earthen home in Auroville, India","Lotus Studio in Skandavan's garden, Edayanchavadi",39.0,39.0,4.81
75,5,"Home in Jaipur, India","(Entire floor) The Haveli, A Home Stay C scheme",84.0,120.0,4.61
76,5,"Villa in Galle, Sri Lanka",Rose Villa paradise on the ocean.,201.0,201.0,4.84
77,5,"Hotel room in Jodhpur, India",SADAR HAVELI HERITAGE,22.0,22.0,4.63
